N2BvsE2B,Product page,Start application,Finish application,Month,week_year,Category,Device,con_1,con_2,Sales
E2B,57,43,26,November,46_2022,Mortgages,web,75,60,8
E2B,509,400,213,November,47_2022,Mortgages,web,79,53,39
E2B,470,346,202,November,48_2022,Mortgages,web,74,57.99999999999999,44
E2B,518,391,236,December,49_2022,Mortgages,web,75,60,53
E2B,410,309,154,December,50_2022,Mortgages,web,75,50,60
E2B,294,222,135,December,51_2022,Mortgages,web,76,61,68
E2B,298,212,126,December,52_2022,Mortgages,web,71,59,8
E2B,500,345,201,January,1_2023,Mortgages,web,69,57.99999999999999,23
E2B,589,426,225,January,2_2023,Mortgages,web,72,53,33
E2B,572,414,228,January,3_2023,Mortgages,web,72,55.00000000000001,55
E2B,501,392,224,January,4_2023,Mortgages,web,78,56.99999999999999,40
E2B,640,461,290,January,5_2023,Mortgages,web,72,63,19
E2B,670,461,249,February,6_2023,Mortgages,web,69,54,55
E2B,432,294,175,February,7_2023,Mortgages,web,68,60,3
N2B,463,103,8,November,46_2022,Mortgages,web,22,8,2
N2B,5225,797,47,November,47_2022,Mortgages,web,15,6,2
N2B,4875,758,38,November,48_2022,Mortgages,web,16,5,3
N2B,6878,917,56,December,49_2022,Mortgages,web,13,6,4
N2B,4814,677,50,December,50_2022,Mortgages,web,14.000000000000002,7.000000000000001,4
N2B,3929,540,59,December,51_2022,Mortgages,web,14.000000000000002,11,2
N2B,3011,441,27,December,52_2022,Mortgages,web,15,6,2
N2B,5314,782,65,January,1_2023,Mortgages,web,15,8,1
N2B,6222,1044,63,January,2_2023,Mortgages,web,17,6,2
N2B,6143,931,63,January,3_2023,Mortgages,web,15,7.000000000000001,4
N2B,5438,777,61,January,4_2023,Mortgages,web,14.000000000000002,8,3
N2B,6749,1011,69,January,5_2023,Mortgages,web,15,7.000000000000001,1
N2B,8787,1095,82,February,6_2023,Mortgages,web,12,7.000000000000001,8
N2B,4788,581,44,February,7_2023,Mortgages,web,12,8,NA
UNK,26,0,0,November,46_2022,Mortgages,web,0,NA,NA
UNK,123,0,0,November,47_2022,Mortgages,web,0,NA,NA
UNK,11,0,0,November,48_2022,Mortgages,web,0,NA,NA
UNK,172,0,0,December,49_2022,Mortgages,web,0,NA,NA
UNK,136,0,0,December,50_2022,Mortgages,web,0,NA,NA
UNK,99,0,0,December,51_2022,Mortgages,web,0,NA,NA
UNK,98,0,0,December,52_2022,Mortgages,web,0,NA,NA
UNK,178,0,0,January,1_2023,Mortgages,web,0,NA,NA
UNK,215,0,0,January,2_2023,Mortgages,web,0,NA,NA
UNK,179,0,0,January,3_2023,Mortgages,web,0,NA,NA
UNK,160,0,0,January,4_2023,Mortgages,web,0,NA,NA
UNK,203,0,0,January,5_2023,Mortgages,web,0,NA,NA
UNK,240,0,0,February,6_2023,Mortgages,web,0,NA,NA
UNK,153,0,0,February,7_2023,Mortgages,web,0,NA,NA
