year,month,week_year,Product page,Start application,Finish application,Category,con_1,con_2,target_PP,target_SF,target_FF
2023,January,00_2023,462,10,13,Mortgages,2,130,NA,NA,NA
2023,January,01_2023,6105,206,282,Mortgages,3,137,NA,NA,NA
2023,January,02_2023,7093,220,294,Mortgages,3,134,NA,NA,NA
2023,January,03_2023,6908,173,292,Mortgages,3,169,NA,NA,NA
2023,January,04_2023,6078,158,286,Mortgages,3,181,NA,NA,NA
2022,February,05_2022,7312,235,344,Mortgages,3,146,8993.76,401.84999999999997,588.24
2023,January,05_2023,2626,76,117,Mortgages,3,154,NA,NA,NA
2022,February,06_2022,7452,328,390,Mortgages,4,119,9165.96,560.88,666.9
2022,February,07_2022,7305,287,347,Mortgages,4,121,8985.15,490.77,593.37
2022,February,08_2022,7019,243,353,Mortgages,3,145,8633.369999999999,415.53,603.63
2022,February,09_2022,1050,35,63,Mortgages,3,180,1291.5,59.85,107.73
2022,March,09_2022,5246,252,267,Mortgages,5,106,6452.58,430.92,456.57
2022,March,10_2022,5955,572,281,Mortgages,10,49,7324.65,978.12,480.51
2022,March,11_2022,7220,500,357,Mortgages,7.000000000000001,71,8880.6,855,610.47
2022,March,12_2022,6566,309,321,Mortgages,5,104,8076.18,528.39,548.91
2022,April,13_2022,2226,57,87,Mortgages,3,153,2737.98,97.47,148.77
2022,March,13_2022,4289,135,190,Mortgages,3,141,5275.47,230.85,324.9
2022,April,14_2022,6897,172,229,Mortgages,2,133,8483.31,294.12,391.59
2022,April,15_2022,5359,185,202,Mortgages,3,109.00000000000001,6591.57,316.34999999999997,345.42
2022,April,16_2022,5734,178,237,Mortgages,3,133,7052.82,304.38,405.27
2022,April,17_2022,7222,191,228,Mortgages,3,119,8883.06,326.61,389.88
2022,May,17_2022,833,23,44,Mortgages,3,191,1024.59,39.33,75.24
2022,May,18_2022,12569,308,239,Mortgages,2,78,15459.869999999999,526.68,408.69
2022,May,19_2022,6597,174,191,Mortgages,3,110.00000000000001,8114.3099999999995,297.54,326.61
2022,May,20_2022,5875,152,211,Mortgages,3,139,7226.25,259.92,360.81
2022,May,21_2022,5405,147,211,Mortgages,3,144,6648.15,251.37,360.81
2022,June,22_2022,3527,95,146,Mortgages,3,154,4338.21,162.45,249.66
2022,May,22_2022,1875,78,106,Mortgages,4,136,2306.25,133.38,181.26
2022,June,23_2022,10298,189,190,Mortgages,2,101,12666.539999999999,323.19,324.9
2022,June,24_2022,6896,112,160,Mortgages,2,143,8482.08,191.51999999999998,273.6
2022,June,25_2022,6670,163,227,Mortgages,2,139,8204.1,278.73,388.17
2022,July,26_2022,3098,69,102,Mortgages,2,148,3810.54,117.99,174.42
2022,June,26_2022,4118,98,138,Mortgages,2,141,5065.14,167.57999999999998,235.98
2022,July,27_2022,10317,203,261,Mortgages,2,129,12689.91,347.13,446.31
2022,July,28_2022,6894,166,220,Mortgages,2,133,8479.619999999999,283.86,376.2
2022,July,29_2022,7095,208,218,Mortgages,3,105,8726.85,355.68,372.78
2022,July,30_2022,8245,246,361,Mortgages,3,147,10141.35,420.65999999999997,617.31
2022,August,31_2022,10710,318,443,Mortgages,3,139,13173.3,543.78,757.53
2022,August,32_2022,7292,170,285,Mortgages,2,168,8969.16,290.7,487.34999999999997
2022,August,33_2022,6372,184,253,Mortgages,3,138,7837.5599999999995,314.64,432.63
2022,August,34_2022,7073,203,336,Mortgages,3,166,8699.789999999999,347.13,574.56
2022,August,35_2022,3306,106,135,Mortgages,3,127,4066.38,181.26,230.85
2022,September,35_2022,3115,118,139,Mortgages,4,118,3831.45,201.78,237.69
2022,September,36_2022,8004,219,327,Mortgages,3,149,9844.92,374.49,559.17
2022,September,37_2022,6761,190,248,Mortgages,3,131,8316.03,324.9,424.08
2022,September,38_2022,6191,171,238,Mortgages,3,139,7614.93,292.40999999999997,406.98
2022,October,39_2022,1420,41,69,Mortgages,3,168,1746.6,70.11,117.99
2022,September,39_2022,5690,151,201,Mortgages,3,133,6998.7,258.21,343.71
2022,October,40_2022,8663,224,296,Mortgages,3,132,10655.49,383.03999999999996,506.15999999999997
2022,October,41_2022,7075,183,259,Mortgages,3,142,8702.25,312.93,442.89
2022,October,42_2022,6743,215,300,Mortgages,3,140,8293.89,367.65,513
2022,October,43_2022,6775,173,239,Mortgages,3,138,8333.25,295.83,408.69
2022,November,44_2022,6970,164,247,Mortgages,2,151,8573.1,280.44,422.37
2022,October,44_2022,1037,27,40,Mortgages,3,148,1275.51,46.17,68.4
2022,November,45_2022,6399,177,235,Mortgages,3,133,7870.7699999999995,302.67,401.84999999999997
2022,November,46_2022,6012,181,254,Mortgages,3,140,7394.76,309.51,434.34
2022,November,47_2022,5747,179,236,Mortgages,3,132,7068.8099999999995,306.09,403.56
2022,December,48_2022,2508,89,120,Mortgages,4,135,3084.84,152.19,205.2
2022,November,48_2022,2853,77,126,Mortgages,3,164,3509.19,131.67,215.46
2022,December,49_2022,7617,272,285,Mortgages,4,105,9368.91,465.12,487.34999999999997
2022,December,50_2022,5213,186,205,Mortgages,4,110.00000000000001,6411.99,318.06,350.55
2022,December,51_2022,4117,173,171,Mortgages,4,99,5063.91,295.83,292.40999999999997
2022,December,52_2022,3240,103,151,Mortgages,3,147,3985.2,176.13,258.21
