year,week_year,Calculators,Campaign page,Product page app,Product page open,Product page secured
2022,05_2022,31702,1348,0,12360,265
2022,06_2022,32945,1518,0,12783,279
2022,07_2022,33538,1345,0,12675,282
2022,08_2022,31220,1179,0,11834,270
2022,09_2022,28808,1231,0,10432,249
2022,10_2022,26526,1186,0,9748,226
2022,11_2022,30266,1531,0,11792,300
2022,12_2022,28338,1267,0,10834,275
2022,13_2022,30966,981,0,10973,235
2022,14_2022,26139,914,0,11474,201
2022,15_2022,24973,778,0,8982,205
2022,16_2022,25030,1020,0,9486,213
2022,17_2022,26865,1350,0,12822,277
2022,18_2022,29990,1973,0,21931,360
2022,19_2022,25093,916,0,11288,249
2022,20_2022,25400,837,0,10035,219
2022,21_2022,22405,723,0,9372,212
2022,22_2022,25947,981,0,9203,197
2022,23_2022,31836,1519,0,19464,304
2022,24_2022,27058,1286,0,12289,241
2022,25_2022,27504,1477,0,12244,198
2022,26_2022,25900,1731,0,12569,214
2022,27_2022,34820,2525,0,18330,294
2022,28_2022,28908,1320,0,12737,218
2022,29_2022,31794,1143,0,13983,221
2022,30_2022,34259,1107,0,19532,265
2022,31_2022,40218,1439,0,23533,271
2022,32_2022,31962,1015,0,14854,225
2022,33_2022,34247,2012,0,11941,209
2022,34_2022,32984,2018,0,14120,221
2022,35_2022,37021,2211,0,12496,214
2022,36_2022,37625,2292,0,15427,238
2022,37_2022,33760,1788,0,14081,194
2022,38_2022,32343,1686,0,12240,225
2022,39_2022,36415,2086,0,12899,210
2022,40_2022,42266,2711,0,17179,249
2022,41_2022,32725,2042,0,13572,216
2022,42_2022,36116,2032,0,12616,218
2022,43_2022,29884,1775,0,12388,221
2022,44_2022,34197,1658,0,15364,260
2022,45_2022,28162,1132,0,13430,197
2022,46_2022,32923,1644,0,12893,181
2022,47_2022,29211,1780,0,11356,205
2022,48_2022,25956,1494,0,10715,193
2022,49_2022,32048,3325,0,14387,210
2022,50_2022,27505,2943,0,9253,170
2022,51_2022,23041,2780,0,7390,117
2022,52_2022,22970,2226,0,5587,136
2023,00_2023,4429,377,0,837,20
2023,01_2023,31847,1248,0,11199,231
2023,02_2023,33155,721,0,13338,258
2023,03_2023,32448,391,0,12865,259
2023,04_2023,31016,351,0,11390,226
2023,05_2023,12126,139,0,4784,102
