#=================================================================						
# Mobile Product Page Conversion Summary						
# Report suite: Mobile: Native App						
"# Date: May 14, 2023 - Jul 12, 2023"						
# Segments: Viewed Mob Product Pages (visit)						
#=================================================================						
						
#=================================================================						
# Mobile Product Page Conversion Summary (2)						
# Report suite: Mobile: Native App						
"# Date: Jan 1, 2023 - Dec 31, 2023"						
# Segments: Viewed Mob Product Pages (visit)						
#=================================================================						
						
						
##############################################						
# Conversion by product						
##############################################						
	Product view	Product CTA click	Product page CTR	App start	App completed	End to end apply conversion
Product	959928	245076	4.325017377	141700	79815	0.418713326
Savings Maximiser	187642	91432	0.487268309	84743	51440	0.274139052
Orange Everyday	335423	77288	0.2304195	43660	23097	0.068859321
Personal Term Deposit	80721	16440	0.203664474	12019	4985	0.061755925
superannuation	20990	1376	0.065555026	1278	293	0.013959028
Motorcycle Insurance	685	351	0.512408759	0	0	0
Pet Insurance	1439	637	0.44266852	0	0	0
Health Insurance	4740	1921	0.405274262	0	0	0
Home and Contents Insurance	8629	4692	0.543747827	0	0	0
Car Insurance	12976	7690	0.592632552	0	0	0
Fixed Rate	13383	1254	0.093700964	0	0	0
Mortgage Simplifier	17305	2016	0.116498122	0	0	0
Orange Advantage	22218	2026	0.091187326	0	0	0
Orange One Low Rate Platinum	33302	1520	0.045642904	0	0	0
Orange One Low Rate Classic	66779	10037	0.150301742	0	0	0
ING Personal Loan	73696	13184	0.178897091	0	0	0
Savings Accelerator	80000	13212	0.16515	0	0	0
						
						
#=================================================================						
# Panel						
# Report suite: Mobile: Native App						
"# Date: May 14, 2023 - Jul 12, 2023"						
#=================================================================						
						
						
##############################################						
# Line Data						
##############################################						
	Product page CTR					
Week	0.250145033					
14/05/2023	0.248903613					
21/05/2023	0.250285968					
28/05/2023	0.243505832					
4/06/2023	0.245627207					
11/06/2023	0.248123091					
18/06/2023	0.247661352					
25/06/2023	0.251759009					
2/07/2023	0.256721454					
9/07/2023	0.264010207					
