"month_Date","Borrowing power calculator","Buying cost calculator","Equity calculator","Extra repayments calculator","Lump sum calculator","Offset calculator","Refinance calculator","Rental yield calculator","Repayments calculator","Stamp duty calculator","combined_calc","total_calc","shared_calc"
"2022-05-01",76151,424,858,10470,643,5204,553,399,18526,1520,16317,114748,14.219855683759194
"2022-06-01",80762,387,921,9773,541,4401,615,936,18465,1397,14715,118198,12.449449229259377
"2022-07-01",98793,350,965,10623,643,5414,684,1920,19377,1322,16680,140091,11.906546459087307
"2022-08-01",115712,373,1062,9858,618,5599,766,3393,18199,1394,16075,156974,10.240549390344897
"2022-09-01",110401,359,897,8616,639,5239,660,3200,17345,1198,14494,148554,9.756721461556067
"2022-10-01",114984,376,986,8959,660,5440,755,3065,18239,1287,15059,154751,9.731116438665985
"2022-11-01",93793,334,881,8146,674,5377,675,2669,16682,1243,14197,130474,10.881095084078053
"2022-12-01",88420,297,962,7424,583,4568,596,2114,14548,1030,12575,120542,10.432048580577725
"2023-01-01",101453,553,1759,9854,655,6113,903,3457,18637,1185,16622,144569,11.497623971944193
"2023-02-01",101041,443,1338,9709,723,6086,1044,3400,19730,1350,16518,144864,11.402418820410869
"2023-03-01",127325,457,1442,9960,714,5777,920,4112,19765,1627,16451,172099,9.559032882236387
"2023-04-01",117228,443,1403,9611,654,4958,982,4170,17434,1389,15223,158272,9.618252122927618
