week_year,Traffic source,Device,Product page,Start application,Finish application,Category,con_1,con_2
1_2023,affiliates,web,0,0,0,Mortgages,NA,NA
1_2023,Direct,web,1992,479,124,Mortgages,24,26
1_2023,referrals,web,82,20,7,Mortgages,24,35
1_2023,SEA,web,210,89,14,Mortgages,42,16
1_2023,SEO,web,3263,533,120,Mortgages,16,23
2_2023,affiliates,web,1,0,0,Mortgages,0,NA
2_2023,Direct,web,2205,615,128,Mortgages,28.000000000000004,21
2_2023,referrals,web,91,20,6,Mortgages,22,30
2_2023,SEA,web,156,84,17,Mortgages,54,20
2_2023,SEO,web,4036,744,137,Mortgages,18,18
3_2023,affiliates,web,0,0,0,Mortgages,NA,NA
3_2023,Direct,web,2143,539,148,Mortgages,25,27
3_2023,referrals,web,121,31,5,Mortgages,26,16
3_2023,SEA,web,99,30,9,Mortgages,30,30
3_2023,SEO,web,3986,674,124,Mortgages,17,18
4_2023,affiliates,web,0,0,0,Mortgages,NA,NA
4_2023,Direct,web,1894,484,145,Mortgages,26,30
4_2023,referrals,web,104,26,4,Mortgages,25,15
4_2023,SEA,web,82,32,7,Mortgages,39,22
4_2023,SEO,web,3590,622,129,Mortgages,17,21
46_2022,affiliates,web,4,2,1,Mortgages,50,50
46_2022,Direct,web,168,71,18,Mortgages,42,25
46_2022,referrals,web,6,7,3,Mortgages,117,43
46_2022,SEA,web,32,14,3,Mortgages,44,21
46_2022,SEO,web,276,52,9,Mortgages,19,17
47_2022,affiliates,web,51,18,8,Mortgages,35,44
47_2022,Direct,web,1992,585,129,Mortgages,28.999999999999996,22
47_2022,referrals,web,79,23,7,Mortgages,28.999999999999996,30
47_2022,SEA,web,235,111,22,Mortgages,47,20
47_2022,SEO,web,3090,459,94,Mortgages,15,20
48_2022,affiliates,web,52,20,6,Mortgages,38,30
48_2022,Direct,web,1858,532,114,Mortgages,28.999999999999996,21
48_2022,referrals,web,91,31,5,Mortgages,34,16
48_2022,SEA,web,133,38,6,Mortgages,28.999999999999996,16
48_2022,SEO,web,2942,481,109,Mortgages,16,23
49_2022,affiliates,web,90,43,6,Mortgages,48,14.000000000000002
49_2022,Direct,web,2536,630,158,Mortgages,25,25
49_2022,referrals,web,99,41,7,Mortgages,41,17
49_2022,SEA,web,385,143,30,Mortgages,37,21
49_2022,SEO,web,3981,446,91,Mortgages,11,20
5_2023,affiliates,web,0,0,0,Mortgages,NA,NA
5_2023,Direct,web,2318,622,189,Mortgages,27,30
5_2023,referrals,web,106,39,6,Mortgages,37,15
5_2023,SEA,web,150,62,15,Mortgages,41,24
5_2023,SEO,web,4424,692,135,Mortgages,16,20
50_2022,affiliates,web,75,18,2,Mortgages,24,11
50_2022,Direct,web,2003,474,104,Mortgages,24,22
50_2022,referrals,web,56,23,4,Mortgages,41,17
50_2022,SEA,web,322,131,23,Mortgages,41,18
50_2022,SEO,web,2543,339,71,Mortgages,13,21
51_2022,affiliates,web,50,15,5,Mortgages,30,33
51_2022,Direct,web,1548,299,83,Mortgages,19,28.000000000000004
51_2022,referrals,web,52,15,2,Mortgages,28.999999999999996,13
51_2022,SEA,web,318,120,27,Mortgages,38,22
51_2022,SEO,web,2108,313,77,Mortgages,15,25
52_2022,affiliates,web,26,1,0,Mortgages,4,0
52_2022,Direct,web,1082,285,81,Mortgages,26,28.000000000000004
52_2022,referrals,web,52,7,2,Mortgages,13,28.999999999999996
52_2022,SEA,web,310,176,26,Mortgages,56.99999999999999,15
52_2022,SEO,web,1691,184,44,Mortgages,11,24
6_2023,affiliates,web,1,1,0,Mortgages,100,0
6_2023,Direct,web,3054,629,145,Mortgages,21,23
6_2023,referrals,web,140,19,5,Mortgages,14.000000000000002,26
6_2023,SEA,web,314,114,16,Mortgages,36,14.000000000000002
6_2023,SEO,web,5563,759,158,Mortgages,14.000000000000002,21
7_2023,affiliates,web,0,0,0,Mortgages,NA,NA
7_2023,Direct,web,1780,355,101,Mortgages,20,28.000000000000004
7_2023,referrals,web,73,16,6,Mortgages,22,38
7_2023,SEA,web,296,91,20,Mortgages,31,22
7_2023,SEO,web,2888,354,81,Mortgages,12,23
